tag,seed,condition,samples,accuracy,macro_f1,recall_class0,f1_class0,precision_class0,true0_pred0,true0_pred1,recall_class1,f1_class1,precision_class1,true1_pred0,true1_pred1
width28,17,uniform_half_2,80450,0.9821628340584214,0.9811618191628059,0.9897862310537859,0.9768193199256926,0.964187767076982,30235,312,0.9774963429052361,0.9855043183999191,0.9936445856758739,1123,48780
width28,17,uniform_quarter_0,80450,0.974108141702921,0.9727262242361361,0.9863161685271876,0.9665869973211851,0.9476316286091715,30129,418,0.9666352724285113,0.9788654511510871,0.9914090759618547,1665,48238
width28,17,uniform_quarter_1,80450,0.9734493474207583,0.9720330925027696,0.9855304939928634,0.9657395823308632,0.9467278845246706,30105,442,0.9660541450413803,0.9783266026746759,0.9909148835584057,1694,48209
width28,17,uniform_quarter_2,80450,0.973586078309509,0.9721808848910113,0.9860870134546764,0.9659285863169202,0.9465778392307209,30122,425,0.9659339117888704,0.9784331834651023,0.9912601793205561,1700,48203
width28,17,central_half,80450,0.9739962709757614,0.9727152311966368,0.9972501391298655,0.9668031356120473,0.9381602044901605,30463,84,0.9597619381600304,0.9786273267812263,0.9982492340398924,2008,47895
width28,17,xy_fraction6,80450,0.9866376631448105,0.9858728269041327,0.9928307198742921,0.982585734881988,0.9725500256541816,30328,219,0.9828467226419253,0.9891599189262774,0.995554743636585,856,49047
width28,17,xy_fraction4,80450,0.9866003729024239,0.9858324488936303,0.9926015648017809,0.9825340246273493,0.9726686555673179,30321,226,0.9829268781435986,0.9891308731599112,0.9954136818393977,852,49051
width28,17,kept_single,80450,0.9692852703542573,0.9676486121402547,0.9801944544472452,0.9603720631865929,0.9413355130784709,29942,605,0.9626074584694307,0.9749251610939165,0.9875621890547264,1866,48037
width28,17,sparse_single,97734,0.955256103300796,0.9550213305548096,0.979535700351151,0.9582709098716542,0.9379097786494817,50211,1049,0.9284761371949908,0.951771751237965,0.9762664313672255,3324,43150
width28,17,sparse_context,97734,0.9698160312685452,0.9696880726169079,0.986480686695279,0.9716575073978709,0.9572732091473573,50567,693,0.9514352110857683,0.967718637835945,0.9845691382765531,2257,44217
width28,37,clean,80450,0.9869857054070852,0.9862002819972784,0.9855304939928634,0.982908075811744,0.9802995766851188,30105,442,0.9878764803719216,0.9894924881828127,0.991113791716928,605,49298
width28,37,uniform_half_0,80450,0.981180857675575,0.9800584882684285,0.9796379349854323,0.9753275536144971,0.9710549372099815,29925,622,0.9821253231268661,0.9847894229223597,0.9874680152318014,892,49011
width28,37,uniform_half_1,80450,0.9807085146053449,0.9795484982392335,0.9778046944053426,0.9746777614619024,0.9715707640763751,29869,678,0.9824860228843957,0.9844192350165646,0.9863600700102602,874,49029
width28,37,uniform_half_2,80450,0.981230577998757,0.9801116710234663,0.979768880741153,0.9753943423282493,0.9710586937477694,29929,618,0.9821253231268661,0.9848289997186834,0.9875476032158617,892,49011
width28,37,uniform_quarter_0,80450,0.9733996270975761,0.9718875395456524,0.9763970275313452,0.9653676851372346,0.9545847335573692,29826,721,0.971564835781416,0.9784073939540703,0.9853470175795143,1419,48484
width28,37,uniform_quarter_1,80450,0.9737725295214419,0.9722782592981112,0.976560709725996,0.9658421291199897,0.9553562850280224,29831,716,0.9720658076668738,0.9787143894762328,0.9854545454545455,1394,48509
width28,37,uniform_quarter_2,80450,0.9730142945929149,0.9714836027201643,0.976200608897764,0.9648768018637459,0.9538126919140225,29820,727,0.9710638638959581,0.9780904035765827,0.9852193713658358,1444,48459
width28,37,central_half,80450,0.9766438781852083,0.9754346781804126,0.9939110223589878,0.9699845050398556,0.9471828788918699,30361,186,0.9660741839167986,0.9808848513209697,0.9961567071658814,1693,48210
width28,37,xy_fraction6,80450,0.9869732753262896,0.986187014880982,0.9854977575539333,0.9828914718558182,0.9802989351655866,30104,443,0.9878764803719216,0.9894825579061459,0.9910938662270562,605,49298
width28,37,xy_fraction4,80450,0.9870354257302673,0.9862524841665602,0.9854977575539333,0.9829717065843823,0.9804585721730068,30104,443,0.9879766747490131,0.9895332617487381,0.9910947613878502,600,49303
width28,37,kept_single,80450,0.9655811062771908,0.9635846691449662,0.9631715062035552,0.955058185772483,0.9470804094508466,29422,1125,0.9670560888122959,0.9721111525174494,0.9772193422971003,1644,48259
width28,37,sparse_single,97734,0.9519512145210469,0.9517306900027862,0.9719469371829886,0.954993291163504,0.9386209495101733,49822,1438,0.9298962860954513,0.9484680888420683,0.9677968379092579,3258,43216
width28,37,sparse_context,97734,0.9667362432725561,0.9666279668841975,0.9759071400702302,0.9685288622568997,0.9612613131953652,50025,1235,0.9566209063132074,0.9647270715114954,0.972971789989714,2016,44458
asymmetry28,7,clean,80450,0.9864263517712865,0.9856380512342059,0.9904409598323894,0.9822733028148437,0.9742392529383352,30255,292,0.9839688996653507,0.9890027996535681,0.9940884704929649,800,49103
asymmetry28,7,uniform_half_0,80450,0.9818396519577377,0.9807914761754934,0.9853013389203522,0.9763043936617092,0.9674702667952427,30098,449,0.9797206580766687,0.9852785586892778,0.9908998783948115,1012,48891
