tag,seed,condition,samples,accuracy,macro_f1,class0_f1,class1_f1,class0_recall,class1_recall,true0_pred0,true0_pred1,true1_pred0,true1_pred1
B,7,kept_single,80450,0.9704785581106277,0.9688907952023991,0.9618627057406663,0.9759188846641318,0.9804563459586866,0.9643708795062421,29950,597,1778,48125
B,7,sparse_single,97734,0.9468966787402542,0.9467606611099284,0.9494516625435846,0.9440696596762722,0.9508778774873196,0.9425054869389335,48742,2518,2672,43802
B,7,sparse_context,97734,0.9585098328115088,0.9584273632743379,0.9602789777346773,0.9565757488139985,0.9562231759656652,0.9610319748676679,49016,2244,1811,44663
B,17,clean,80450,0.983430702299565,0.9824689671173142,0.9783628483776194,0.986575085857009,0.986578060038629,0.9815041179888985,30137,410,923,48980
B,17,uniform_half_0,80450,0.979502796768179,0.9783295735487578,0.973287327274789,0.9833718198227268,0.9834353619013324,0.9770955653968699,30041,506,1143,48760
B,17,uniform_half_1,80450,0.9786575512740833,0.9774387057225027,0.9721947822707324,0.9826826291742731,0.9826496873670082,0.9762138548784642,30017,530,1187,48716
B,17,uniform_half_2,80450,0.9789185829707893,0.9777161415002125,0.9725397493604482,0.9828925336399766,0.983173470389891,0.9763140492555558,30033,514,1182,48721
B,17,uniform_quarter_0,80450,0.9724673710379117,0.9709814166577906,0.9644148124347337,0.9775480208808474,0.9825842144891479,0.9662745726709817,30015,532,1683,48220
B,17,uniform_quarter_1,80450,0.9735114978247359,0.9720696159721156,0.9657235688665133,0.9784156630777178,0.9827478966837987,0.9678576438290283,30020,527,1604,48299
B,17,uniform_quarter_2,80450,0.9729645742697327,0.9715108549129237,0.9650753889879089,0.9779463208379384,0.9837627262906341,0.966354728172655,30051,496,1679,48224
B,17,central_half,80450,0.9702050963331261,0.9687697715247487,0.9620745850671645,0.9754649579823331,0.9952859527940551,0.9548524136825441,30403,144,2253,47650
B,17,xy_fraction6,80450,0.9834058421379739,0.9824430965988307,0.9783317914008862,0.9865544017967751,0.9866107964775592,0.9814440013626435,30138,409,926,48977
B,17,xy_fraction4,80450,0.983480422622747,0.9825209271627966,0.9784256749078749,0.9866161794177182,0.9865453235996988,0.98160431236599,30136,411,918,48985
B,17,kept_single,80450,0.9683157240522063,0.9666930866603645,0.9593415532834607,0.9740446200372682,0.9844501915081677,0.9584393723824219,30072,475,2074,47829
B,17,sparse_single,97734,0.941637505883316,0.9415369151744435,0.9439619601524738,0.9391118701964133,0.9372220054623488,0.9465077247493222,48042,3218,2486,43988
B,17,sparse_context,97734,0.9628379069719852,0.9627442599421805,0.9646121168423719,0.960876403041989,0.9656847444401092,0.9596978955975384,49501,1759,1873,44601
B,37,clean,80450,0.9822995649471722,0.9812892824655612,0.9769415117559428,0.9856370531751796,0.987527416767604,0.979099452938701,30166,381,1043,48860
B,37,uniform_half_0,80450,0.9794282162834058,0.9782600134021338,0.9732204980501934,0.9832995287540742,0.9844829279470979,0.9763340881309741,30073,474,1181,48722
B,37,uniform_half_1,80450,0.9784586699813549,0.9772356870608517,0.9719592900021035,0.9825120841196,0.9832389432677513,0.9755325331142416,30035,512,1221,48682
B,37,uniform_half_2,80450,0.9788688626476072,0.9776714782795638,0.9725008087997412,0.9828421477593864,0.9840573542410057,0.9756928441175882,30060,487,1213,48690
B,37,uniform_quarter_0,80450,0.9717215661901802,0.9701932387572778,0.9634438320505199,0.9769426454640356,0.9814057026876616,0.9657936396609422,29979,568,1707,48196
B,37,uniform_quarter_1,80450,0.9725170913610939,0.9710203892564859,0.9644345070535815,0.9776062714593905,0.9813729662487315,0.9670961665631325,29978,569,1642,48261
B,37,uniform_quarter_2,80450,0.972802983219391,0.9713315703879248,0.9648367189508871,0.9778264218249625,0.9826824238059384,0.9667555056810212,30018,529,1659,48244
